"concept_id","relationship","target_concept_id","target_concept_name"
258449,"morphology",4179955,"Hemorrhage"
258482,"causative_agent",4249833,"Domain Bacteria"
258482,"finding_site",4336841,"Bartholin's gland structure"
258482,"morphology",4195605,"Abscess morphology"
258482,"pathology",40480911,"Infectious process"
258540,"finding_site",4071048,"Connective tissue structure"
258564,"finding_site",4014545,"Structure of interstitial tissue of lung"
258564,"morphology",4008897,"Interstitial emphysema"
258564,"occurrence",4155796,"Perinatal period"
258564,"occurrence",37160332,"Perinatal period of fetus and/or neonate"
258785,"causative_agent",4321152,"Streptococcus pneumoniae"
258785,"finding_site",4012637,"Structure of parenchyma of lung"
258785,"morphology",45771021,"Inflammation and consolidation"
258785,"pathology",40480911,"Infectious process"
258787,"finding_site",4237074,"Pleural cavity structure"
258787,"morphology",4307599,"Air leakage"
258866,"finding_site",4213162,"Lung structure"
258866,"occurrence",4123429,"Early neonatal period"
259123,"finding_site",4056176,"Structure of subvalvular aortic region"
259123,"morphology",4234842,"Congenital stenosis"
259123,"morphology",4217691,"Stenosis"
259123,"occurrence",4116830,"Congenital"
259123,"pathology",4204670,"Pathological developmental process"
259153,"finding_site",4194306,"Pharynx and/or larynx structures"
259748,"finding_site",4051578,"Nasal sinus structure"
259748,"morphology",37153816,"Malignant neoplasm"
259748,"morphology",4312326,"Neoplasm, malignant (primary)"
259748,"pathology",37157802,"Primary malignant neoplastic proliferation"
259848,"clinical_course",4236661,"Chronic"
259848,"finding_site",4145936,"Structure of mucous membrane of nose"
259848,"morphology",4253009,"Chronic inflammatory morphology"
259852,"causative_agent",4278981,"Staphylococcus"
259852,"finding_site",4012637,"Structure of parenchyma of lung"
259852,"morphology",45771021,"Inflammation and consolidation"
259852,"pathology",40480911,"Infectious process"
259865,"finding_site",4241163,"Structure of Bartholin's gland duct"
259865,"morphology",4279699,"Cyst"
260041,"causative_agent",4139129,"Candida"
260041,"finding_site",4012637,"Structure of parenchyma of lung"
