concept_id,relationship,relationship_id,target_concept_id,target_concept_name
43531163,device,Using device,4279164,Microscope
43531512,device,Using device,4313302,Laparoscope
43531531,device,Has dir device,4169265,Device
43531553,device,Using device,4313302,Laparoscope
43531648,device,Has dir device,4030970,Knee joint prosthesis
44782864,device,Has dir device,4217646,Implantable defibrillator
44783078,device,Using device,4049103,Arthroscope
44784222,device,Using device,4189588,Optical coherence tomography scanner
44790298,device,Has dir device,4030875,Cardiac pacemaker
44790501,device,Has dir device,4030875,Cardiac pacemaker
44791438,device,Using device,4046730,Laser device
44807107,device,Has dir device,4222679,Wound dressing
44808212,device,Using device,4313302,Laparoscope
44808725,device,Using device,4313302,Laparoscope
45763838,device,Has dir device,4161452,Brachytherapy device
46270642,device,Using device,4313302,Laparoscope
46270663,device,Using device,4313302,Laparoscope
46270674,device,Using device,4313302,Laparoscope
46270686,device,Using device,4149926,Thoracoscope
46270731,device,Using device,4093739,Neurostimulator
46270838,device,Using device,4313302,Laparoscope
46270879,device,Using device,4150246,Angioplasty catheter
46270896,device,Using device,4313302,Laparoscope
46270974,device,Using device,4313302,Laparoscope
46271144,device,Has dir device,4234567,Biliary stent
46271144,device,Using acc device,4290594,Endoscope
46272424,device,Using device,4313302,Laparoscope
46273536,device,Using device,4313302,Laparoscope
46273604,device,Using device,45763026,Flexible video thoracoscope
46285669,device,Has dir device,4093739,Neurostimulator
