concept_id,relationship,relationship_id,target_concept_id,target_concept_name
4124391,procedure_site,Has proc site,4301915,Structure of oral frenum
4125153,procedure_site,Has indir proc site,4288283,Stomach structure
4125163,procedure_site,Has indir proc site,4302112,Duodenal structure
4125170,procedure_site,Has indir proc site,4146765,Structure of small intestine
4125943,procedure_site,Has proc site,4184295,Structure of gum and supporting structure of tooth
4126771,procedure_site,Has proc site,4227271,Minor salivary gland structure
4127237,procedure_site,Has indir proc site,4049448,Ovarian structure
4127245,procedure_site,Has indir proc site,4274953,Structure of amniotic cavity
4128362,procedure_site,Has indir proc site,4105096,Joint structure of shoulder girdle
4128362,procedure_site,Has indir proc site,4151929,Joint structure of shoulder region
4129658,procedure_site,Has indir proc site,4210181,Structure of esophageal lumen
4129747,procedure_site,Has proc site,4203155,Female genital structure
4132400,procedure_site,Has indir proc site,4219713,Pelvis and lower extremities
4134148,procedure_site,Has proc site,4132420,Female genital organ structure
4134857,procedure_site,Has indir proc site,4082516,Hip joint structure
4135206,procedure_site,Has indir proc site,4296022,Vaginal structure
4137375,procedure_site,Has indir proc site,4052689,Structure of lumbar intervertebral disc
4137700,procedure_site,Has indir proc site,4217142,Heart structure
4138740,procedure_site,Has indir proc site,4099331,Endometrial structure
4138741,procedure_site,Has indir proc site,4179487,Endometrial cavity structure
4138868,procedure_site,Has indir proc site,4079206,Entire hip joint
4138870,procedure_site,Has indir proc site,4111908,Entire knee joint
4138872,procedure_site,Has indir proc site,4111908,Entire knee joint
4139773,procedure_site,Has indir proc site,4201588,Structure of vertebral region of back
4139773,procedure_site,Has indir proc site,620053,Vertebral column region
4139992,procedure_site,Has proc site,4154158,Bile duct structure
4140161,procedure_site,Has proc site,4093709,Limiting membrane of retina
4140397,procedure_site,Has indir proc site,4147841,Nerve structure
4140455,procedure_site,Has indir proc site,4065366,Structure of respiratory system
4141907,procedure_site,Has indir proc site,4323581,Bone structure of femur
4141919,procedure_site,Has indir proc site,4237074,Pleural cavity structure
4141922,procedure_site,Has indir proc site,37303863,Abdominopelvic cavity
4141922,procedure_site,Has indir proc site,4199742,Abdominopelvic cavity structure
4142080,procedure_site,Has indir proc site,4310972,Glenohumeral joint structure
4142625,procedure_site,Has indir proc site,4336685,Salivary duct structure
4143509,procedure_site,Has indir proc site,4337115,Ureteric structure
4143510,procedure_site,Has proc site,4087995,Structure of female urinary bladder neck
4143592,procedure_site,Has proc site,44784094,Skeletal muscle and/or tendon structure
4143686,procedure_site,Has indir proc site,4043008,Artery of thorax
4143686,procedure_site,Has indir proc site,4215757,Pulmonary artery structure
4143728,procedure_site,Has indir proc site,4195956,Tracheal structure
4144062,procedure_site,Has indir proc site,4104340,Venous structure
4144078,procedure_site,Has proc site,4034270,Intestinal structure
4144432,procedure_site,Has indir proc site,4079206,Entire hip joint
4144525,procedure_site,Has indir proc site,4289928,Ankle joint structure
4144552,procedure_site,Has indir proc site,4162263,Glenohumeral joint part
4144552,procedure_site,Has indir proc site,4105096,Joint structure of shoulder girdle
4144573,procedure_site,Has indir proc site,4135229,Anterior chamber of eye structure
4144827,procedure_site,Has indir proc site,4305329,Eye structure
4144861,procedure_site,Has indir proc site,4298557,Pericardial structure
4144899,procedure_site,Has indir proc site,4217142,Heart structure
4145225,procedure_site,Has indir proc site,4144672,Ileal structure
4145362,procedure_site,Has indir proc site,4102766,Corneal structure
4145382,procedure_site,Has indir proc site,4240970,Mastoid structure
4146045,procedure_site,Has indir proc site,4274953,Structure of amniotic cavity
4146781,procedure_site,Has indir proc site,4012567,Structure of iliac artery
4148148,procedure_site,Has proc site,4159862,Skin structure of lower limb
4149327,procedure_site,Has indir proc site,4217142,Heart structure
4149348,procedure_site,Has indir proc site,4151384,Gallbladder structure
4149741,procedure_site,Has indir proc site,4144672,Ileal structure
4149930,procedure_site,Has indir proc site,4104246,Pericardial cavity structure
4150502,procedure_site,Has indir proc site,4135229,Anterior chamber of eye structure
4150538,procedure_site,Has indir proc site,4179487,Endometrial cavity structure
4150990,procedure_site,Has indir proc site,4082516,Hip joint structure
4151765,procedure_site,Has indir proc site,4305329,Eye structure
4153287,procedure_site,Has indir proc site,4151444,Fallopian tube structure
4155600,procedure_site,Has indir proc site,4091162,Scleral structure
4158252,procedure_site,Has indir proc site,4232481,Urinary bladder structure
4159882,procedure_site,Has proc site,4305329,Eye structure
4159949,procedure_site,Has proc site,4338971,Soft tissue
4159965,procedure_site,Has indir proc site,4277279,Structure of posterior chamber of eye
4160163,procedure_site,Has indir proc site,4139602,Cecum structure
4160183,procedure_site,Has indir proc site,4100253,Middle ear structure
4160269,procedure_site,Has indir proc site,4200396,Upper limb structure
4160270,procedure_site,Has indir proc site,4267861,Lower limb structure
4160360,procedure_site,Has proc site,4159886,Eye region structure
4160418,procedure_site,Has indir proc site,4278992,Structure of annulus fibrosus of mitral orifice
4162987,procedure_site,Has indir proc site,4215634,Colon structure
4163287,procedure_site,Has proc site,4014241,Structure of cardiovascular system
4163968,procedure_site,Has proc site,4321259,Thymus gland structure
4164731,procedure_site,Has indir proc site,4296022,Vaginal structure
4164907,procedure_site,Has indir proc site,4035784,Structure of serous membrane of peritoneum
4165348,procedure_site,Has indir proc site,4077311,Penile structure
4165535,procedure_site,Has proc site,4156081,Respiratory tract structure
4166711,procedure_site,Has indir proc site,37154624,Structure of lumen of lacrimal drainage system
4167173,procedure_site,Has indir proc site,4219982,Coronary artery structure
4168528,procedure_site,Has indir proc site,4178172,Tympanic membrane structure
4170058,procedure_site,Has proc site,4140098,Esophageal structure
4173712,procedure_site,Has indir proc site,4278992,Structure of annulus fibrosus of mitral orifice
4173721,procedure_site,Has proc site,4008109,Tarsal plate structure
4174057,procedure_site,Has proc site,4135229,Anterior chamber of eye structure
4174214,procedure_site,Has indir proc site,37303863,Abdominopelvic cavity
4174214,procedure_site,Has indir proc site,4199742,Abdominopelvic cavity structure
4174389,procedure_site,Has proc site,4146820,Biliary tract structure
4175627,procedure_site,Has proc site,4233942,Structure of lymphatic system
4176323,procedure_site,Has indir proc site,4272388,Structure of subclavian artery
4177047,procedure_site,Has indir proc site,4242893,Blood vessel structure
4178833,procedure_site,Has indir proc site,4034504,Structure of endocrine system
4178834,procedure_site,Has indir proc site,4219601,Skin structure
4179027,procedure_site,Has proc site,4313445,Skin structure of trunk
4179363,procedure_site,Has indir proc site,4217142,Heart structure
4180279,procedure_site,Has indir proc site,4178172,Tympanic membrane structure
4180860,procedure_site,Has indir proc site,4337115,Ureteric structure
4181025,procedure_site,Has indir proc site,4219982,Coronary artery structure
4181205,procedure_site,Has proc site,4150673,Pleural structure
4181208,procedure_site,Has indir proc site,4305329,Eye structure
4181450,procedure_site,Has indir proc site,4337115,Ureteric structure
4181610,procedure_site,Has indir proc site,4297788,Structure of femoral artery
4181778,procedure_site,Has indir proc site,4104340,Venous structure
4181955,procedure_site,Has indir proc site,4242893,Blood vessel structure
4182228,procedure_site,Has proc site,4222565,Ear ossicle structure
4183274,procedure_site,Has proc site,4236847,Diaphragm structure
4183687,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4184187,procedure_site,Has proc site,4063534,Structure of uterine ligament
4185284,procedure_site,Has indir proc site,4014241,Structure of cardiovascular system
4185578,procedure_site,Has proc site,4006785,Parathyroid structure
4185734,procedure_site,Has indir proc site,4034270,Intestinal structure
4187207,procedure_site,Has indir proc site,4305329,Eye structure
4187207,procedure_site,Has indir proc site,4301506,Lens clear
4187537,procedure_site,Has indir proc site,4217142,Heart structure
4187965,procedure_site,Has proc site,4218107,Bone structure of lower limb
4189286,procedure_site,Has proc site,4305329,Eye structure
4189847,procedure_site,Has proc site,4151444,Fallopian tube structure
4190187,procedure_site,Has indir proc site,4135229,Anterior chamber of eye structure
4190437,procedure_site,Has indir proc site,4050631,Maxillary sinus structure
4192247,procedure_site,Has proc site,4144541,Rectum structure
4193388,procedure_site,Has indir proc site,4232481,Urinary bladder structure
4194197,procedure_site,Has proc site,4241958,Structure of lymph node
4194253,procedure_site,Has proc site,4298444,Breast structure
4194514,procedure_site,Has indir proc site,4211548,Aortic arch structure
4194672,procedure_site,Has proc site,40481827,Anatomical or acquired body structure
4195164,procedure_site,Has proc site,4177661,Structure of visual system
4195603,procedure_site,Has proc site,4296022,Vaginal structure
4195757,procedure_site,Has proc site,4149192,Uterine structure
4195852,procedure_site,Has indir proc site,4068269,Structure of left side of heart
4198228,procedure_site,Has indir proc site,4337115,Ureteric structure
4198242,procedure_site,Has indir proc site,4244588,Sigmoid colon structure
4199570,procedure_site,Has proc site,4047490,Thoracic spine structure
4200280,procedure_site,Has indir proc site,4296022,Vaginal structure
4201720,procedure_site,Has proc site,4046743,Structure of cervical vertebral column
4202369,procedure_site,Has indir proc site,4156081,Respiratory tract structure
4202558,procedure_site,Has indir proc site,4149192,Uterine structure
4202832,procedure_site,Has indir proc site,4106705,Anatomical space structure
4203425,procedure_site,Has indir proc site,4061414,Elbow joint structure
4203428,procedure_site,Has indir proc site,4238088,Testis structure
4203473,procedure_site,Has indir proc site,4305329,Eye structure
4203771,procedure_site,Has indir proc site,4082516,Hip joint structure
4203990,procedure_site,Has indir proc site,4307671,Peritoneal cavity structure
4204395,procedure_site,Has indir proc site,4070760,Cardiac ventricular structure
4204395,procedure_site,Has indir proc site,4217142,Heart structure
4204677,procedure_site,Has indir proc site,4288283,Stomach structure
4205529,procedure_site,Has indir proc site,4305329,Eye structure
4205529,procedure_site,Has indir proc site,4301506,Lens clear
4210602,procedure_site,Has indir proc site,4214466,Joint structure
4212613,procedure_site,Has proc site,4287099,Nasal septum structure
4212941,procedure_site,Has indir proc site,4179487,Endometrial cavity structure
4213128,procedure_site,Has proc site,4329658,Structure of urinary tract proper
4213288,procedure_site,Has indir proc site,4199457,Arterial structure
4213291,procedure_site,Has indir proc site,4296022,Vaginal structure
4213306,procedure_site,Has proc site,4086187,Structure of canthus
4213312,procedure_site,Has proc site,4262229,Laryngeal structure
4213552,procedure_site,Has proc site,4049448,Ovarian structure
4216130,procedure_site,Has proc site,4219982,Coronary artery structure
4216735,procedure_site,Has indir proc site,44782621,Structure of internal part of mouth
4217211,procedure_site,Has indir proc site,4096320,Vitreous cavity structure
4217346,procedure_site,Has indir proc site,4238728,Structure of pharyngotympanic tube
4218109,procedure_site,Has indir proc site,4154333,Bone structure
4218467,procedure_site,Has indir proc site,4294659,Structure of artery of upper limb
4218755,procedure_site,Has indir proc site,4261981,Brain ventricle structure
4220029,procedure_site,Has indir proc site,4271678,Kidney structure
4220964,procedure_site,Has proc site,4302112,Duodenal structure
4223020,procedure_site,Has indir proc site,4217142,Heart structure
4223363,procedure_site,Has indir proc site,4301506,Lens clear
4223626,procedure_site,Has indir proc site,4196917,Structure of right side of heart
4223934,procedure_site,Has indir proc site,4301506,Lens clear
4224154,procedure_site,Has indir proc site,4093066,Descending aorta structure
4224173,procedure_site,Has proc site,4234217,Structure of hemorrhoidal plexus
4225375,procedure_site,Has indir proc site,4323840,Structure of artery of lower limb
4227277,procedure_site,Has indir proc site,4053843,Finger joint structure
4227418,procedure_site,Has indir proc site,4167501,Structure of gastric lumen
4228050,procedure_site,Has proc site,4164276,Nasal structure
4228073,procedure_site,Has indir proc site,4225241,Peripheral nerve structure
4229118,procedure_site,Has indir proc site,4151384,Gallbladder structure
4231419,procedure_site,Has indir proc site,4307671,Peritoneal cavity structure
4231506,procedure_site,Has indir proc site,4213162,Lung structure
4231924,procedure_site,Has indir proc site,4200396,Upper limb structure
4232099,procedure_site,Has indir proc site,4196642,Cochlear structure
4232599,procedure_site,Has indir proc site,4146820,Biliary tract structure
4232742,procedure_site,Has indir proc site,4219601,Skin structure
4233386,procedure_site,Has indir proc site,4214466,Joint structure
4233678,procedure_site,Has indir proc site,4219601,Skin structure
4234743,procedure_site,Has indir proc site,4196642,Cochlear structure
4237430,procedure_site,Has indir proc site,4278457,Structure of trigeminal ganglion
4238814,procedure_site,Has proc site,4154333,Bone structure
4239208,procedure_site,Has proc site,4305329,Eye structure
4239302,procedure_site,Has indir proc site,4132420,Female genital organ structure
4240305,procedure_site,Has indir proc site,4237074,Pleural cavity structure
4240701,procedure_site,Has indir proc site,4034270,Intestinal structure
4241102,procedure_site,Has indir proc site,4217142,Heart structure
